fevax@fevax-cocina:/mnt/Android/logcats/dream2lte$ adb shell cat /proc/last_kmsg
08378]  [2:  Binder:3390_2: 4636] [@][0][GP9] sensor fcount: 13, fcount: 13
<7>[   50.008390]  [2:  Binder:3390_2: 4636] [@][0][BAK:D] fimc_is_sensor_back_stop():0
<7>[   50.009739]  [2:  Binder:3390_2: 4636] [@][0][WRN]video110 stream off : queued buffer is not empty(2)
<7>[   50.020317]  [2:  Binder:3390_2: 4636] [@][0][WRN]video12 stream off : queued buffer is not empty(2)
<7>[   50.020655]  [2:  Binder:3390_2: 4636] [@][HW][0]itf_process_off_wrap: [G:0x4](1)
<7>[   50.020679]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:3]isp_disable: Vvalid(0)
<7>[   50.020708]  [2:  Binder:3390_2: 4636] [@][LIB][0]object_suspend done [ID:3]
<6>[   50.020719]  [2:  Binder:3390_2: 4636] [@][HW][0]complete_list (0)(0)(0)
<7>[   50.020728]  [2:  Binder:3390_2: 4636] [@][HW][0]process_list (0)
<7>[   50.020736]  [2:  Binder:3390_2: 4636] [@][HW][0]request_list (0)
<6>[   50.021377]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list (0)(0)(0)
<7>[   50.021395]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[1] (0)
<7>[   50.021405]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[2] (0)
<7>[   50.021413]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[3] (0)
<7>[   50.021425]  [2:  Binder:3390_2: 4636] [@][HW][0]itf_process_off_wrap: [G:0x10](1)
<7>[   50.021439]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:9]tpu_disable: Vvalid(0)
<7>[   50.021470]  [2:  Binder:3390_2: 4636] [@][LIB][0]object_suspend done [ID:9]
<6>[   50.021480]  [2:  Binder:3390_2: 4636] [@][HW][0]complete_list (0)(0)(0)
<7>[   50.021489]  [2:  Binder:3390_2: 4636] [@][HW][0]process_list (0)
<7>[   50.021498]  [2:  Binder:3390_2: 4636] [@][HW][0]request_list (0)
<6>[   50.021507]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list (0)(0)(0)
<7>[   50.021516]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[1] (0)
<7>[   50.021524]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[2] (0)
<7>[   50.021533]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[3] (0)
<7>[   50.021543]  [2:  Binder:3390_2: 4636] [@][HW][0]itf_process_off_wrap: [G:0x40](1)
<7>[   50.021554]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:12]mcsc_disable: Vvalid(0)
<7>[   50.021563]  [2:  Binder:3390_2: 4636] [@][HW][ID:12]hw_mcsc_clear_interrupt
<7>[   50.021589]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:12][OUT:0]hw_mcsc_disable: clear_wdma_addr
<7>[   50.021610]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:12][OUT:1]hw_mcsc_disable: clear_wdma_addr
